Date,State,Handgun,Longgun,Multiples,Totals,Year,Month
2016-10-01,Idaho,3913.0,5787.0,208,14160,2016,10
2016-10-01,Illinois,33986.0,14739.0,1090,169348,2016,10
2016-10-01,Indiana,21058.0,16857.0,829,72085,2016,10
2016-10-01,Iowa,221.0,3557.0,11,14908,2016,10
2016-10-01,Kansas,6527.0,6775.0,418,17656,2016,10
2016-10-01,Kentucky,10111.0,10030.0,519,378973,2016,10
2016-10-01,Louisiana,11865.0,13673.0,679,32820,2016,10
2016-10-01,Maine,4320.0,6926.0,435,12954,2016,10
2016-10-01,Mariana Islands,0.0,1.0,0,1,2016,10
2016-10-01,Maryland,4280.0,6786.0,32,14405,2016,10
2016-10-01,Massachusetts,6415.0,3680.0,198,19500,2016,10
2016-10-01,Michigan,12680.0,13539.0,287,49099,2016,10
2016-10-01,Minnesota,11394.0,18553.0,511,70854,2016,10
2016-10-01,Mississippi,7564.0,8323.0,406,21433,2016,10
2016-10-01,Missouri,21994.0,20919.0,1196,50651,2016,10
2016-10-01,Montana,3035.0,6689.0,271,13411,2016,10
2016-10-01,Nebraska,144.0,2817.0,8,7834,2016,10
2016-10-01,Nevada,5614.0,3471.0,378,12026,2016,10
2016-10-01,New Hampshire,5968.0,4672.0,4,15045,2016,10
2016-10-01,New Jersey,5391.0,4567.0,0,10175,2016,10
2016-10-01,New Mexico,5449.0,4826.0,282,13089,2016,10
2016-10-01,New York,10820.0,21094.0,219,37907,2016,10
2016-10-01,North Carolina,1353.0,15980.0,217,49372,2016,10
2016-10-01,North Dakota,1674.0,4451.0,113,7283,2016,10
2016-10-01,Ohio,30593.0,21991.0,1521,71864,2016,10
2016-10-01,Oklahoma,11560.0,11325.0,852,28578,2016,10
2016-10-01,Oregon,14749.0,13412.0,0,28948,2016,10
2016-10-01,Pennsylvania,56836.0,16223.0,0,103095,2016,10
2016-10-01,Puerto Rico,1165.0,194.0,25,1429,2016,10
2016-10-01,Rhode Island,1162.0,950.0,214,2448,2016,10
2016-10-01,South Carolina,9270.0,7797.0,396,31780,2016,10
2016-10-01,South Dakota,3127.0,6859.0,242,12670,2016,10
2016-10-01,Tennessee,23542.0,18514.0,74,56652,2016,10
2016-10-01,Texas,46518.0,44519.0,2901,144467,2016,10
2016-10-01,Utah,3588.0,4603.0,0,23339,2016,10
2016-10-01,Vermont,1485.0,2099.0,84,3769,2016,10
2016-10-01,Virgin Islands,16.0,13.0,0,66,2016,10
2016-10-01,Virginia,24337.0,20433.0,0,46862,2016,10
2016-10-01,Washington,18601.0,15455.0,745,57746,2016,10
2016-10-01,West Virginia,6721.0,7737.0,405,20035,2016,10
2016-10-01,Wisconsin,15514.0,17376.0,52,63442,2016,10
2016-10-01,Wyoming,1709.0,2307.0,116,5228,2016,10
2016-09-01,Alabama,7125.0,8449.0,372,41336,2016,9
2016-09-01,Alaska,2654.0,3126.0,181,6867,2016,9
2016-09-01,Arizona,11769.0,8951.0,639,33390,2016,9
2016-09-01,Arkansas,4802.0,6284.0,324,18826,2016,9
2016-09-01,California,39213.0,43015.0,0,159077,2016,9
2016-09-01,Colorado,17390.0,14521.0,1136,40013,2016,9
2016-09-01,Connecticut,5424.0,2472.0,0,14955,2016,9
2016-09-01,Delaware,1759.0,1894.0,84,4160,2016,9
2016-09-01,District of Columbia,46.0,4.0,2,52,2016,9
2016-09-01,Florida,45848.0,22439.0,1891,102843,2016,9
2016-09-01,Georgia,12258.0,9766.0,513,41621,2016,9
2016-09-01,Guam,99.0,63.0,2,189,2016,9
2016-09-01,Hawaii,0.0,0.0,0,1247,2016,9
2016-09-01,Idaho,3124.0,5230.0,211,12611,2016,9
2016-09-01,Illinois,20298.0,11876.0,773,127535,2016,9
2016-09-01,Indiana,17402.0,13402.0,636,63820,2016,9
2016-09-01,Iowa,154.0,2694.0,8,12094,2016,9
2016-09-01,Kansas,4903.0,5614.0,288,14051,2016,9
2016-09-01,Kentucky,8917.0,8172.0,590,298753,2016,9
2016-09-01,Louisiana,12875.0,13747.0,790,33656,2016,9
2016-09-01,Maine,3841.0,5203.0,298,10550,2016,9
2016-09-01,Mariana Islands,0.0,1.0,0,1,2016,9
2016-09-01,Maryland,3626.0,5428.0,20,12161,2016,9
2016-09-01,Massachusetts,5584.0,3210.0,150,17481,2016,9
2016-09-01,Michigan,10056.0,11311.0,235,41363,2016,9
2016-09-01,Minnesota,9548.0,16213.0,413,58507,2016,9
2016-09-01,Mississippi,6904.0,6592.0,377,19705,2016,9
2016-09-01,Missouri,17808.0,15528.0,949,41437,2016,9
2016-09-01,Montana,2702.0,5404.0,227,11479,2016,9
2016-09-01,Nebraska,104.0,2144.0,4,6099,2016,9
2016-09-01,Nevada,4281.0,2764.0,272,10434,2016,9
2016-09-01,New Hampshire,5100.0,3766.0,4,13329,2016,9
2016-09-01,New Jersey,5249.0,3864.0,0,9309,2016,9
2016-09-01,New Mexico,4793.0,4277.0,286,11867,2016,9
2016-09-01,New York,9700.0,17804.0,208,33599,2016,9
2016-09-01,North Carolina,1068.0,14018.0,245,46452,2016,9
2016-09-01,North Dakota,1273.0,3381.0,84,5883,2016,9
2016-09-01,Ohio,24297.0,18038.0,1121,58828,2016,9
2016-09-01,Oklahoma,9638.0,10003.0,819,25309,2016,9
2016-09-01,Oregon,13325.0,13046.0,0,26487,2016,9
2016-09-01,Pennsylvania,46101.0,12697.0,0,86424,2016,9
2016-09-01,Puerto Rico,1110.0,213.0,24,1383,2016,9
2016-09-01,Rhode Island,1031.0,767.0,168,2052,2016,9
2016-09-01,South Carolina,8725.0,7088.0,352,28988,2016,9
2016-09-01,South Dakota,2530.0,4663.0,179,9284,2016,9
2016-09-01,Tennessee,20721.0,15120.0,1141,48546,2016,9
2016-09-01,Texas,37858.0,42308.0,2436,126694,2016,9
2016-09-01,Utah,2918.0,4440.0,0,19914,2016,9
2016-09-01,Vermont,1233.0,1701.0,96,3130,2016,9
2016-09-01,Virgin Islands,25.0,7.0,1,75,2016,9
2016-09-01,Virginia,20325.0,16687.0,0,38779,2016,9
2016-09-01,Washington,15261.0,13621.0,684,48147,2016,9
2016-09-01,West Virginia,6122.0,6495.0,436,18079,2016,9
2016-09-01,Wisconsin,13271.0,14796.0,33,59639,2016,9
2016-09-01,Wyoming,1521.0,2207.0,98,5086,2016,9
2016-08-01,Alabama,8243.0,7808.0,384,42455,2016,8
2016-08-01,Alaska,2725.0,3484.0,202,7194,2016,8
2016-08-01,Arizona,12069.0,8601.0,617,33422,2016,8
2016-08-01,Arkansas,5666.0,6108.0,333,21692,2016,8
2016-08-01,California,43344.0,43552.0,0,176770,2016,8
2016-08-01,Colorado,18116.0,14054.0,1078,40996,2016,8
2016-08-01,Connecticut,9929.0,3941.0,0,27353,2016,8
2016-08-01,Delaware,1662.0,1562.0,80,4169,2016,8
2016-08-01,District of Columbia,56.0,3.0,1,62,2016,8
2016-08-01,Florida,49867.0,23359.0,1877,114446,2016,8
2016-08-01,Georgia,12627.0,9187.0,513,44370,2016,8
2016-08-01,Guam,95.0,54.0,5,170,2016,8
2016-08-01,Hawaii,0.0,0.0,0,1305,2016,8
2016-08-01,Idaho,3194.0,4214.0,187,11635,2016,8
2016-08-01,Illinois,60745.0,30602.0,1963,185912,2016,8
2016-08-01,Indiana,18906.0,13606.0,596,79202,2016,8
2016-08-01,Iowa,182.0,2345.0,3,12518,2016,8
2016-08-01,Kansas,4987.0,5437.0,283,13770,2016,8
2016-08-01,Kentucky,8842.0,7187.0,445,29746,2016,8
2016-08-01,Louisiana,13082.0,10527.0,845,30716,2016,8
2016-08-01,Maine,3294.0,3546.0,172,8204,2016,8
2016-08-01,Mariana Islands,0.0,2.0,0,3,2016,8
2016-08-01,Maryland,4249.0,5109.0,23,12510,2016,8
2016-08-01,Massachusetts,5601.0,2915.0,190,18138,2016,8
2016-08-01,Michigan,10650.0,9117.0,202,41493,2016,8
2016-08-01,Minnesota,9391.0,11884.0,381,51700,2016,8
2016-08-01,Mississippi,11193.0,9085.0,600,26351,2016,8
2016-08-01,Missouri,18394.0,15365.0,953,44182,2016,8
2016-08-01,Montana,2882.0,4487.0,224,10672,2016,8
2016-08-01,Nebraska,126.0,1805.0,2,6405,2016,8
2016-08-01,Nevada,4676.0,2629.0,274,10520,2016,8
2016-08-01,New Hampshire,4732.0,3421.0,8,12039,2016,8
2016-08-01,New Jersey,5541.0,3962.0,0,9728,2016,8
2016-08-01,New Mexico,5170.0,4224.0,321,12341,2016,8
2016-08-01,New York,10716.0,14278.0,187,30808,2016,8
